名前,入力ノード数,収束ステップ数,x/j,ξ,流出の相対確率（エッジの2乗）の和,ターゲット位置への流出の相対確率（エッジの2乗）,規格化したターゲット位置への流出の相対確率（エッジの2乗）
正三角形,11,1000000003.0,0.1,0.0,10.999999997968459,5.513738269401879e-29,5.01248933581989e-30
正三角形,11,1000000003.0,0.1,1.0,11.000000000012356,5.601697299265484e-29,5.092452090241349e-30
正三角形,11,1000000003.0,0.1,2.0,11.000000002228205,5.914057940672055e-29,5.3764163097018676e-30
正三角形,11,1000000003.0,0.1,3.0,11.00000000007823,6.543092026856096e-29,5.9482654789600866e-30
正三角形,11,1000000003.0,0.1,4.0,10.999999997195292,7.496172704184985e-29,6.814702458349986e-30
正三角形,11,1000000003.0,0.1,5.0,10.999999999462595,8.610954134281789e-29,7.828140122074353e-30
正三角形,11,1000000003.0,0.1,6.0,11.00000000372495,9.823516191490973e-29,8.930469264991793e-30
正三角形,11,1000000003.0,0.1,7.0,11.00000000172268,1.2636755491577206e-28,1.148795953779746e-29
正三角形,11,1000000003.0,0.1,8.0,10.999999995056811,2.6223112925816364e-28,2.3839193568923966e-29
正三角形,11,1000000003.0,0.1,9.0,10.999999995616793,1.43800203947943e-27,1.3072745813449364e-28
正三角形,11,1000000003.0,0.1,10.0,11.000000006396924,7.793266276003413e-26,7.084787523639467e-27
正三角形,11,1000000003.0,0.1,11.0,11.000000011323513,1.5291742028653523e-23,1.3901583662412294e-24
正三角形,11,1000000003.0,0.1,12.0,10.999999992564144,9.473523625095673e-24,8.61229420463243e-25
正三角形,11,1000000003.0,0.1,13.0,10.999999922625726,1.494449897393789e-24,1.3585908158125354e-25
正三角形,11,1000000003.0,0.1,14.0,11.000000036029675,2.8930967645875987e-25,2.630087967806908e-26
正三角形,11,1000000003.0,0.1,15.0,11.000000552080664,6.655943869027409e-24,6.05085806275219e-25
正三角形,11,1000000003.0,0.1,16.0,11.000000012714002,7.84146973396075e-27,7.128608849055227e-28
