名前,入力ノード数,収束ステップ数,x/j,ξ,流出の相対確率（エッジの2乗）の和,ターゲット位置への流出の相対確率（エッジの2乗）,規格化したターゲット位置への流出の相対確率（エッジの2乗）
正三角形,21,100003.0,0.1,0.0,21.00000000000135,0.25000000000009404,0.011904761904766383
正三角形,21,100003.0,0.1,1.0,21.00000000000003,6.2037456200227956e-09,2.954164580963236e-10
正三角形,21,100003.0,0.1,2.0,21.00000000000002,2.3495745307274626e-12,1.118845014632125e-13
正三角形,21,100003.0,0.1,3.0,21.000000000000004,1.1454651281219347e-14,5.454595848199689e-16
正三角形,21,100003.0,0.1,4.0,21.0,2.104548280313933e-16,1.0021658477685395e-17
正三角形,21,100003.0,0.1,5.0,20.999999999999986,8.192194828624304e-18,3.9010451564877636e-19
正三角形,21,100003.0,0.1,6.0,21.0,4.473088038970236e-19,2.1300419233191602e-20
正三角形,21,100003.0,0.1,7.0,20.999999999999993,2.2308358694972974e-20,1.062302794998713e-21
正三角形,21,100003.0,0.1,8.0,21.000000000000004,5.038725507020368e-22,2.3993930985811275e-23
正三角形,21,100003.0,0.1,9.0,21.00000000000001,9.62054778385005e-25,4.581213230404786e-26
正三角形,21,100003.0,0.1,10.0,21.0,1.1140874460700822e-28,5.305178314619439e-30
正三角形,21,100003.0,0.1,11.0,21.00000000000001,1.242571609431248e-32,5.917007663958323e-34
正三角形,21,100003.0,0.1,12.0,21.000000000000007,7.239971852154387e-36,3.4476056438830415e-37
正三角形,21,100003.0,0.1,13.0,20.999999999999993,5.944785745046365e-37,2.830850354783983e-38
正三角形,21,100003.0,0.1,14.0,21.000000000000007,3.704754010143923e-37,1.764168576259011e-38
正三角形,21,100003.0,0.1,15.0,21.000000000000007,6.794988558479656e-36,3.235708837371265e-37
正三角形,21,100003.0,0.1,16.0,21.000000000000014,2.5092229963043192e-37,1.1948680934782473e-38
正三角形,21,100003.0,0.1,17.0,21.000000000000018,2.162654848759924e-37,1.0298356422666304e-38
正三角形,21,100003.0,0.1,18.0,21.0,4.192943630269615e-37,1.9966398239379118e-38
正三角形,21,100003.0,0.1,19.0,21.000000000000004,6.543298165150578e-38,3.115856269119323e-39
正三角形,21,100003.0,0.1,20.0,21.0,1.2110695059397379e-36,5.766997647332085e-38
正三角形,21,100003.0,0.1,21.0,21.000000000000007,3.0340004740125134e-37,1.4447621304821492e-38
