名前,入力ノード数,収束ステップ数,x/j,ξ,流出の相対確率（エッジの2乗）の和,ターゲット位置への流出の相対確率（エッジの2乗）,規格化したターゲット位置への流出の相対確率（エッジの2乗）
正三角形,11,10003.0,0.1,0.0,10.999632329323493,0.24994013077931287,0.022721830070846626
正三角形,11,10003.0,0.1,1.0,11.00001947852094,1.8634431072837031e-06,1.69403918843973e-07
正三角形,11,10003.0,0.1,2.0,11.000003658951861,4.315193246402961e-09,3.922902951275419e-10
正三角形,11,10003.0,0.1,3.0,10.999994554289232,5.1340853376338184e-11,4.667350306939835e-12
正三角形,11,10003.0,0.1,4.0,10.99999671315638,2.860656977644249e-12,2.600597252403863e-13
正三角形,11,10003.0,0.1,5.0,11.000002171165388,2.98339899447629e-13,2.7121809040693546e-14
正三角形,11,10003.0,0.1,6.0,11.000002875879296,3.7518990609588363e-13,3.410817328144397e-14
正三角形,11,10003.0,0.1,7.0,10.999999465987536,2.0561007109092422e-13,1.8691824644629474e-14
正三角形,11,10003.0,0.1,8.0,10.99999763782233,1.7595098179376001e-13,1.599554379943273e-14
正三角形,11,10003.0,0.1,9.0,10.999999556511689,1.349659535665728e-13,1.2269632142415709e-14
正三角形,11,10003.0,0.1,10.0,11.000001781751363,1.1022351971135747e-13,1.002031997375977e-14
正三角形,11,10003.0,0.1,11.0,11.000001011034579,9.127669125642276e-14,8.29788102331116e-15
正三角形,11,10003.0,0.1,12.0,10.999998830395207,7.683895474231213e-14,6.985359522028376e-15
正三角形,11,10003.0,0.1,13.0,10.999998719122718,6.565373711691122e-14,5.9685215560828385e-15
正三角形,11,10003.0,0.1,14.0,11.000000573325401,5.67637265916176e-14,5.160338781056146e-15
正三角形,11,10003.0,0.1,15.0,11.000001323160728,4.9593673296236816e-14,4.508515754203347e-15
正三角形,11,10003.0,0.1,16.0,10.999999956907502,4.372658630187824e-14,3.975144209261658e-15
正三角形,11,10003.0,0.1,17.0,10.999998809515137,3.8864353699097915e-14,3.533123063554356e-15
正三角形,11,10003.0,0.1,18.0,10.999999617399137,3.479026106501343e-14,3.1627510059103117e-15
正三角形,11,10003.0,0.1,19.0,11.000000933185332,3.134289108615907e-14,2.8493537351053703e-15
正三角形,11,10003.0,0.1,20.0,11.000000679266789,2.8400101681607927e-14,2.5818274256007208e-15
正三角形,11,10003.0,0.1,21.0,10.999999397792628,2.586814207791511e-14,2.3516492798104647e-15
正三角形,11,10003.0,0.1,22.0,10.99999916302226,2.3674073462077163e-14,2.1521884965524694e-15
正三角形,11,10003.0,0.1,23.0,11.000000247187828,2.17604581737768e-14,1.978223470343345e-15
正三角形,11,10003.0,0.1,24.0,11.000000860111722,2.0081569952695662e-14,1.8255972684268785e-15
正三角形,11,10003.0,0.1,25.0,11.000000086876423,1.8600641505728335e-14,1.6909674096116669e-15
正三角形,11,10003.0,0.1,26.0,10.999999234113162,1.7287837725098395e-14,1.5716216113725813e-15
正三角形,11,10003.0,0.1,27.0,10.999999636965201,1.6118744540696265e-14,1.4653404127905696e-15
正三角形,11,10003.0,0.1,28.0,11.00000058173244,1.5073228640237597e-14,1.3702935127488724e-15
正三角形,11,10003.0,0.1,29.0,11.000000555152864,1.4134567503504147e-14,1.2849606821367406e-15
正三角形,11,10003.0,0.1,30.0,10.999999658258586,1.3288778918790722e-14,1.2080708107991565e-15
正三角形,11,10003.0,0.1,31.0,10.999999350433349,1.2524099389861661e-14,1.1385544899874237e-15
