名前,入力ノード数,収束ステップ数,x/j,ξ,流出の相対確率（エッジの2乗）の和,ターゲット位置への流出の相対確率（エッジの2乗）,規格化したターゲット位置への流出の相対確率（エッジの2乗）
正三角形,21,10000000003.0,0.1,0.0,20.99999997959368,2.689631662031182e-35,1.2807769819196105e-36
正三角形,21,10000000003.0,0.1,1.0,20.999999997888484,2.826830578014919e-35,1.3461097990547235e-36
正三角形,21,10000000003.0,0.1,2.0,21.000000021137147,3.2720029492679383e-35,1.558096642508542e-36
正三角形,21,10000000003.0,0.1,3.0,21.00000000713744,4.1436505968840566e-35,1.9731669508971698e-36
正三角形,21,10000000003.0,0.1,4.0,20.999999976485633,5.712586370295138e-35,2.7202792239500656e-36
正三角形,21,10000000003.0,0.1,5.0,20.999999984741088,7.721227804797794e-35,3.6767751451418065e-36
正三角形,21,10000000003.0,0.1,6.0,21.00000002856909,5.251097432390502e-33,2.50052258685262e-34
正三角形,21,10000000003.0,0.1,7.0,21.000000033265163,1.0435309623091168e-31,4.9691950586148415e-33
正三角形,21,10000000003.0,0.1,8.0,20.99999995821355,1.3312388304950014e-28,6.339232526166673e-30
正三角形,21,10000000003.0,0.1,9.0,20.99999988187444,5.559291602171214e-28,2.647281715319626e-29
正三角形,21,10000000003.0,0.1,10.0,21.000008122312654,5.939343705304677e-27,2.828258907287941e-28
正三角形,21,10000000003.0,0.1,11.0,20.9999998672937,1.199934335703685e-32,5.713973027160405e-34
正三角形,21,10000000003.0,0.1,12.0,21.00000000369579,2.2234918297932926e-34,1.0588056332349012e-35
正三角形,21,10000000003.0,0.1,13.0,21.000000042720472,2.0030802537443146e-34,9.53847739878245e-36
正三角形,21,10000000003.0,0.1,14.0,21.00000000894667,1.3148984547248124e-34,6.261421212975298e-36
正三角形,21,10000000003.0,0.1,15.0,20.999999979958794,9.306048858149528e-35,4.431451837214061e-36
正三角形,21,10000000003.0,0.1,16.0,20.999999988233704,6.967668454912146e-35,3.3179373594819745e-36
正三角形,21,10000000003.0,0.1,17.0,20.999999977595163,5.439748162662004e-35,2.5903562679342874e-36
正三角形,21,10000000003.0,0.1,18.0,21.000000020128315,4.385618540455763e-35,2.088389781169411e-36
正三角形,21,10000000003.0,0.1,19.0,20.99999998491283,3.6259682302179655e-35,1.7266515381990312e-36
正三角形,21,10000000003.0,0.1,20.0,20.999999982307134,3.0590406989914005e-35,1.456686047138762e-36
正三角形,21,10000000003.0,0.1,21.0,21.00000000479906,2.623694072205953e-35,1.2493781296218823e-36
正三角形,21,10000000003.0,0.1,22.0,21.000000015950544,2.2813916404078803e-35,1.0863769716228002e-36
正三角形,21,10000000003.0,0.1,23.0,21.000000001526544,2.0068510838794874e-35,9.556433732759464e-37
正三角形,21,10000000003.0,0.1,24.0,20.999999985830335,1.7829036511992703e-35,8.490017386663192e-37
正三角形,21,10000000003.0,0.1,25.0,20.999999992296527,1.597563848526686e-35,7.607446897746123e-37
正三角形,21,10000000003.0,0.1,26.0,21.00000002086704,1.4422294434347622e-35,6.867759254451249e-37
正三角形,21,10000000003.0,0.1,27.0,20.999999999545434,1.3106062107605122e-35,6.240981956002439e-37
正三角形,21,10000000003.0,0.1,28.0,20.999999995621636,1.1979872357479703e-35,5.704701122609383e-37
正三角形,21,10000000003.0,0.1,29.0,20.999999993891308,1.100789612977569e-35,5.241855299893185e-37
正三角形,21,10000000003.0,0.1,30.0,21.000000002196813,1.01626418298593e-35,4.839353252313952e-37
正三角形,21,10000000003.0,0.1,31.0,21.000000007053146,9.422473106541267e-36,4.486891955495842e-37
正三角形,21,10000000003.0,0.1,32.0,21.00000000047322,8.770286183980667e-36,4.176326754276508e-37
正三角形,21,10000000003.0,0.1,33.0,20.999999993389558,8.192424933404895e-36,3.901154730192807e-37
正三角形,21,10000000003.0,0.1,34.0,20.999999997281755,7.67775204648652e-36,3.656072403088819e-37
正三角形,21,10000000003.0,0.1,35.0,21.000000005272447,7.217223903456872e-36,3.4367732873604152e-37
正三角形,21,10000000003.0,0.1,36.0,21.000000004411447,6.803423328296789e-36,3.2397253944270423e-37
正三角形,21,10000000003.0,0.1,37.0,20.999999996417788,6.430121461521922e-36,3.0619626007247245e-37
正三角形,21,10000000003.0,0.1,38.0,20.99999999423448,6.092154420230088e-36,2.9010259143952797e-37
正三角形,21,10000000003.0,0.1,39.0,21.000000001419536,5.785172334048761e-36,2.754843968594648e-37
正三角形,21,10000000003.0,0.1,40.0,21.000000006054204,5.505458628628854e-36,2.6216469660137397e-37
正三角形,21,10000000003.0,0.1,41.0,21.00000000051067,5.2499146615606776e-36,2.4999593626479417e-37
正三角形,21,10000000003.0,0.1,42.0,20.999999993841083,5.0157911727502325e-36,2.38847198702392e-37
正三角形,21,10000000003.0,0.1,43.0,20.999999998057184,4.800795621698185e-36,2.286093153189612e-37
正三角形,21,10000000003.0,0.1,44.0,21.000000039338595,4.60292732546086e-36,2.191870154981362e-37
正三角形,21,10000000003.0,0.1,45.0,21.000000004051316,4.4204324903743986e-36,2.1049678525592374e-37
正三角形,21,10000000003.0,0.1,46.0,20.99999999956406,4.251788982748605e-36,2.0246614203564784e-37
正三角形,21,10000000003.0,0.1,47.0,20.999999995707427,4.095668628237939e-36,1.9503183943990186e-37
正三角形,21,10000000003.0,0.1,48.0,20.999999999441282,3.950909985724971e-36,1.8813857074880813e-37
正三角形,21,10000000003.0,0.1,49.0,21.00000000381818,3.8164765497777246e-36,1.8173697856084403e-37
正三角形,21,10000000003.0,0.1,50.0,21.000000001815955,3.6914441756239455e-36,1.7578305598209263e-37
正三角形,21,10000000003.0,0.1,51.0,20.999999996787416,3.575023107660684e-36,1.7023919560288971e-37
正三角形,21,10000000003.0,0.1,52.0,20.999999996931507,3.4664777998255095e-36,1.6507037142026236e-37
正三角形,21,10000000003.0,0.1,53.0,21.000000000819647,3.3651661238371845e-36,1.602460058970088e-37
正三角形,21,10000000003.0,0.1,54.0,21.000000004268863,3.270518487727617e-36,1.55738975606077e-37
正三角形,21,10000000003.0,0.1,55.0,20.999999997909324,3.182012534472376e-36,1.5152440640344649e-37
正三角形,21,10000000003.0,0.1,56.0,20.999999995653017,3.0991944394361077e-36,1.475806875921956e-37
正三角形,21,10000000003.0,0.1,57.0,20.999999999943924,3.0216440548909904e-36,1.438878121376662e-37
正三角形,21,10000000003.0,0.1,58.0,21.0000000041452,2.948973533219566e-36,1.4042731110569363e-37
正三角形,21,10000000003.0,0.1,59.0,21.000000001477837,2.880851279714874e-36,1.3718339427213684e-37
正三角形,21,10000000003.0,0.1,60.0,20.99999999659536,2.816972104769752e-36,1.3414152879855962e-37
正三角形,21,10000000003.0,0.1,61.0,20.999999997199783,2.7570480218354185e-36,1.3128800103978182e-37
正三角形,21,10000000003.0,0.1,62.0,21.000000002443205,2.7008327034319926e-36,1.2861108111580918e-37
正三角形,21,10000000003.0,0.1,63.0,21.00000000390686,2.6480842579819597e-36,1.2609925038009332e-37
